Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
12/03/2015,CHEV,4D,,GRY,R606498,IL,400 E. Lower Wacker,(312) 744-7550,939048
12/03/2015,CHEV,4D,,WHI,Y828506,IL,10300 S. Doty,(773) 568-8495,2777954
12/03/2015,CHEV,4D,,GLD,R893525,IL,10300 S. Doty,(773) 568-8495,2777910
12/03/2015,CHEV,4D,,SIL,E430143,IL,701 N. Sacramento,(773) 265-7605,6832985
12/03/2015,CHEV,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2777918
12/03/2015,CHEV,4D,,SIL,V140439,IL,701 N. Sacramento,(773) 265-7605,6833090
12/03/2015,CHEV,LL,,BLU,N151223,IL,701 N. Sacramento,(773) 265-7605,6832978
12/03/2015,CHEV,LL,,WHI,R254692,IL,400 E. Lower Wacker,(312) 744-7550,939043
12/03/2015,CHEV,LL,,BLK,120REL,FL,701 N. Sacramento,(773) 265-7605,6833040
12/03/2015,CHEV,LL,,TAN,362S981,IL,10300 S. Doty,(773) 568-8495,2777908
12/03/2015,CHEV,LL,,BLK,E294573,IL,10300 S. Doty,(773) 568-8495,2777945
12/03/2015,CHEV,VN,,GRY,E610093,IL,701 N. Sacramento,(773) 265-7605,6832968
12/03/2015,CHEV,VN,,WHI,1273773-,IL,10300 S. Doty,(773) 568-8495,2777939
12/03/2015,CHEV,VN,,WHI,S111210,IL,10300 S. Doty,(773) 568-8495,2777974
12/03/2015,CHEV,VN,,GRN,858R866,IL,10300 S. Doty,(773) 568-8495,2777902
12/03/2015,CHRY,4D,,BLK,206LYE,IN,10300 S. Doty,(773) 568-8495,2777916
12/03/2015,CHRY,VN,,BLK,E417015,IL,10300 S. Doty,(773) 568-8495,2777925
12/03/2015,DODG,4D,,BLK,Y929834,IL,10300 S. Doty,(773) 568-8495,2777911
12/03/2015,DODG,4D,,GRY,455S559,IL,10300 S. Doty,(773) 568-8495,2777907
12/03/2015,DODG,4D,,GRN,R500121,IL,10300 S. Doty,(773) 568-8495,3777936
12/03/2015,DODG,LL,,BLU,H971330,IL,701 N. Sacramento,(773) 265-7605,6832998
12/03/2015,DODG,VC,,GLD,RTZ795,IL,701 N. Sacramento,(773) 265-7605,6832970
12/03/2015,DODG,VN,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6832979
12/03/2015,DODG,VN,,TAN,E862208,IL,10300 S. Doty,(773) 568-8495,2777963
12/03/2015,DODG,VN,,WHI,Z475483,IL,10300 S. Doty,(773) 568-8495,2777901
12/03/2015,DODG,VN,CVN,GRY,,,10300 S. Doty,(773) 568-8495,2777912
12/03/2015,FORD,4D,,GRY,E2830W,TN,10300 S. Doty,(773) 568-8495,2777933
12/03/2015,FORD,4D,,GRY,E279234,IL,10300 S. Doty,(773) 568-8495,2777915
12/03/2015,FORD,4D,,BLK,V642297,IL,400 E. Lower Wacker,(312) 744-7550,939022
12/03/2015,FORD,4D,,BLK,91939*43,IL,10300 S. Doty,(773) 568-8495,2777940
12/03/2015,FORD,4D,,WHI,Z179509,IL,701 N. Sacramento,(773) 265-7605,6833034
12/03/2015,FORD,4D,,SIL,V741580,IL,10300 S. Doty,(773) 568-8495,2777938
12/03/2015,FORD,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,2777909
12/03/2015,FORD,4D,,SIL,E697936,IL,701 N. Sacramento,(773) 265-7605,6833063
12/03/2015,FORD,4D,,BLK,N174155,IL,701 N. Sacramento,(773) 265-7605,6833107
12/03/2015,FORD,LL,,BLU,KELTRON,IL,701 N. Sacramento,(773) 265-7605,6832967
12/03/2015,FORD,LL,,BLK,L500300,IL,10300 S. Doty,(773) 568-8495,2777952
12/03/2015,FORD,PK,,BLU,BV58600,TX,701 N. Sacramento,(773) 265-7605,6833035
12/03/2015,GMC,LL,,WHI,Y726856,IL,701 N. Sacramento,(773) 265-7605,6833100
12/03/2015,GMC,LL,,GRN,K710249,IL,701 N. Sacramento,(773) 265-7605,6833000
12/03/2015,HOND,2D,,BLK,9740795,IL,10300 S. Doty,(773) 568-8495,2777913
12/03/2015,HOND,2D,,BLK,E103305,IL,701 N. Sacramento,(773) 265-7605,6832988
12/03/2015,HOND,2D,,GRY,VEW260,IL,701 N. Sacramento,(773) 265-7605,6833030
12/03/2015,HOND,2D,,WHI,S930527,IL,701 N. Sacramento,(773) 265-7605,6833014
12/03/2015,HOND,2D,,SIL,R701224,IL,701 N. Sacramento,(773) 265-7605,6833013
12/03/2015,HOND,4D,,GRN,L763063,IL,701 N. Sacramento,(773) 265-7605,6832992
12/03/2015,HOND,4D,,GRN,E994082,IL,10300 S. Doty,(773) 568-8495,2777962
12/03/2015,HOND,4D,,BLK,S954534,IL,701 N. Sacramento,(773) 265-7605,6833036
12/03/2015,HOND,4D,,RED,S143756,IL,701 N. Sacramento,(773) 265-7605,6832976
12/03/2015,HOND,4D,,BLK,R863010,IL,400 E. Lower Wacker,(312) 744-7550,939039
12/03/2015,HOND,4D,,GRY,A450537,IL,701 N. Sacramento,(773) 265-7605,6833099
12/03/2015,HOND,4D,,GRY,9750855,IL,701 N. Sacramento,(773) 265-7605,6833045
12/03/2015,HOND,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6832982
12/03/2015,HOND,LL,,BLU,A628562,IL,400 E. Lower Wacker,(312) 744-7550,939036
12/03/2015,HOND,VN,,GRY,SYV271,IN,400 E. Lower Wacker,(312) 744-7550,939044
12/03/2015,HOND,VN,,GRY,Z347944,IL,10300 S. Doty,(773) 568-8495,2777906
12/03/2015,HOND,VN,,GRY,Z236646,IL,701 N. Sacramento,(773) 265-7605,6833094
12/03/2015,HYUN,4D,,GRY,P488727,IL,10300 S. Doty,(773) 568-8495,2777934
12/03/2015,HYUN,4D,,GRY,E151441,IL,701 N. Sacramento,(773) 265-7605,6832974
12/03/2015,HYUN,4D,,SIL,L928085,IL,10300 S. Doty,(773) 568-8495,2777914
12/03/2015,HYUN,4D,,BLK,Z321530,IL,701 N. Sacramento,(773) 265-7605,6833047
12/03/2015,HYUN,4D,,BLK,E477005,IL,701 N. Sacramento,(773) 265-7605,6833044
12/03/2015,HYUN,4D,,BLK,E582841,IL,701 N. Sacramento,(773) 265-7605,6833023
12/03/2015,HYUN,4D,,BLK,Y853429,IL,701 N. Sacramento,(773) 265-7605,6833060
12/03/2015,INFI,4D,,SIL,2D6TL,OH,701 N. Sacramento,(773) 265-7605,6833057
12/03/2015,INFI,4D,,MAR,285S034,IL,701 N. Sacramento,(773) 265-7605,6833052
12/03/2015,INFI,4D,,SIL,Z398295,IL,701 N. Sacramento,(773) 265-7605,6833058
12/03/2015,JEEP,LL,,GRN,Y735013,IL,10300 S. Doty,(773) 785-9752,1715712
12/03/2015,JEEP,LL,,GRY,E635760,IL,10300 S. Doty,(773) 568-8495,2777930
12/03/2015,JEEP,LL,,BLK,Z129318,IL,701 N. Sacramento,(773) 265-7605,6833020
12/03/2015,JEEP,LL,,BLK,H560116,IL,400 E. Lower Wacker,(312) 744-7550,939047
12/03/2015,JEEP,LL,,BLK,E931553,IL,701 N. Sacramento,(773) 265-7605,6833031
12/03/2015,JEEP,LL,,BLK,L619341,IL,10300 S. Doty,(773) 568-8495,2777944
12/03/2015,JEEP,LL,,GRN,Z247429,IL,701 N. Sacramento,(773) 265-7605,6832969
12/03/2015,KIA,4D,,RED,E734473,IL,400 E. Lower Wacker,(312) 744-7550,939035
12/03/2015,KIA,4D,,RED,P982689,IL,10300 S. Doty,(773) 568-8495,2777948
12/03/2015,LINC,4D,,BRO,N671104,IL,10300 S. Doty,(773) 568-8495,2777904
12/03/2015,LINC,LL,,GLD,R508957,IL,701 N. Sacramento,(773) 265-7605,6832999
12/03/2015,LINC,LL,,RED,N775090,IL,701 N. Sacramento,(773) 265-7605,6832980
12/03/2015,MAZD,4D,,GRY,Y710498,IL,701 N. Sacramento,(773) 265-7605,6833054
12/03/2015,MAZD,4D,,WHI,DSY3452,TX,400 E. Lower Wacker,(312) 744-7550,939034
12/03/2015,MERC,2D,,GRY,E469313,IL,10300 S. Doty,(773) 568-8495,2777961
12/03/2015,MERC,4D,,GRN,9047DN,IL,10300 S. Doty,(773) 568-8495,2777971
12/03/2015,MERC,4D,,RED,E361712,IL,701 N. Sacramento,(773) 265-7605,6832996
12/03/2015,MERC,LL,,GRN,707TSZ,WI,701 N. Sacramento,(773) 265-7605,6832993
12/03/2015,MERZ,4D,,WHI,4714DT,IL,10300 S. Doty,(773) 568-8495,2777928
12/03/2015,MERZ,LL,,RED,782BUZ,KS,701 N. Sacramento,(773) 265-7605,6833033
12/03/2015,MERZ,LL,,PLE,C878787,IL,701 N. Sacramento,(773) 265-7605,6833024
12/03/2015,MITS,LL,,GRY,Y746493,IL,10300 S. Doty,(773) 568-8495,2777926
12/03/2015,MITS,LL,,SIL,N972258,IL,701 N. Sacramento,(773) 265-7605,6833022
12/03/2015,NISS,4D,,GLD,S890142,IL,701 N. Sacramento,(773) 265-7605,6833111
12/03/2015,NISS,4D,,GLD,S890142,IL,701 N. Sacramento,(773) 265-7605,6833111
12/03/2015,NISS,4D,,BLK,HK5X85,MO,400 E. Lower Wacker,(312) 744-7550,939017
12/03/2015,NISS,4D,,GRY,3760401,IL,400 E. Lower Wacker,(312) 744-7550,939024
12/03/2015,NISS,4D,,BLU,Y851926,IL,701 N. Sacramento,(773) 265-7605,6833032
12/03/2015,NISS,4D,,BLK,S390113,IL,701 N. Sacramento,(773) 265-7605,6832984
12/03/2015,NISS,4D,,BLK,1853842,IL,701 N. Sacramento,(773) 265-7605,6832972
12/03/2015,NISS,4D,,BLK,Y722170,IL,400 E. Lower Wacker,(312) 744-7550,939032
12/03/2015,NISS,4D,,WHI,Z451207,IL,10300 S. Doty,(773) 568-8495,2777941
12/03/2015,NISS,4D,,BLK,E627186,IL,701 N. Sacramento,(773) 265-7605,6833095
12/03/2015,NISS,LL,,WHI,R528297,IL,701 N. Sacramento,(773) 265-7605,6833087
12/03/2015,NISS,LL,,GRY,6544386,IL,701 N. Sacramento,(773) 265-7605,68/3305
12/03/2015,NISS,LL,,WHI,V845789,IL,10300 S. Doty,(773) 568-8495,2777964
12/03/2015,OLDS,4D,,RED,V150169,IL,400 E. Lower Wacker,(312) 744-7550,939029
12/03/2015,PONT,2D,,BLU,Z163798,IL,10300 S. Doty,(773) 568-8495,2777919
12/03/2015,PONT,4D,,SIL,V525753,IL,10300 S. Doty,(773) 568-8495,2777905
12/03/2015,PONT,4D,,BLK,E526106,IL,701 N. Sacramento,(773) 265-7605,6833123
12/03/2015,PONT,4D,,BLK,V443467,IL,701 N. Sacramento,(773) 265-7605,6832966
12/03/2015,PONT,4D,,RED,V956304,IL,10300 S. Doty,(773) 568-8495,2777970
12/03/2015,PONT,VN,,TAN,E675249,IL,10300 S. Doty,(773) 785-9752,1715711
12/03/2015,ROV,LL,,TAN,Z293647,IL,10300 S. Doty,(773) 568-8495,2777973
12/03/2015,SATR,4D,,SIL,Y738288,IL,701 N. Sacramento,(773) 265-7605,6833017
12/03/2015,SATR,4D,,SIL,N727294,IL,701 N. Sacramento,(773) 265-7605,6833056
12/03/2015,SATR,4D,,GRY,A261524,IL,701 N. Sacramento,(773) 265-7605,6833021
12/03/2015,SUBA,4D,,SIL,Z581652,IL,701 N. Sacramento,(773) 265-7605,6833018
12/03/2015,SUBA,LL,,BLK,Z227334,IL,701 N. Sacramento,(773) 265-7605,6833046
12/03/2015,TOYT,2D,,SIL,966R231,IL,701 N. Sacramento,(773) 265-7605,6833073
12/03/2015,TOYT,4D,,BLK,E196497,IL,701 N. Sacramento,(773) 265-7605,6833050
12/03/2015,TOYT,4D,,BLU,8124993,IL,701 N. Sacramento,(773) 265-7605,6833012
12/03/2015,TOYT,4D,,GRN,V415224,IL,701 N. Sacramento,(773) 265-7605,6832977
12/03/2015,TOYT,4D,,TAN,P177664,IL,400 E. Lower Wacker,(312) 744-7550,939201
12/03/2015,TOYT,4D,,BLK,K235211,IL,400 E. Lower Wacker,(312) 744-7550,939049
12/03/2015,TOYT,4D,,BLK,E907900,IL,400 E. Lower Wacker,(312) 744-7550,939042
12/03/2015,TOYT,4D,,GRY,E878083,IL,701 N. Sacramento,(773) 265-7605,6833079
12/03/2015,TOYT,4D,,BLK,R899399,IL,701 N. Sacramento,(773) 265-7605,6833080
12/03/2015,TOYT,4D,,WHI,R388945,IL,701 N. Sacramento,(773) 265-7605,6833088
12/03/2015,TOYT,4D,,BLU,Z192320,IL,10300 S. Doty,(773) 568-8495,2777929
12/03/2015,TOYT,4D,,GRY,Z518164,IL,10300 S. Doty,(773) 568-8495,2777917
12/03/2015,TOYT,4D,,TAN,E761242,IL,10300 S. Doty,(773) 568-8495,2777949
12/03/2015,TOYT,4D,,GRY,E134718,IL,10300 S. Doty,(773) 568-8495,2777956
12/03/2015,TOYT,4D,,BLU,E521896,IL,701 N. Sacramento,(773) 265-7605,6833038
12/03/2015,TOYT,4D,,GRY,E826112,IL,10300 S. Doty,(773) 568-8495,2777927
12/03/2015,TOYT,4D,,GLD,K114941,IL,701 N. Sacramento,(773) 265-7605,6832981
12/03/2015,TOYT,4D,,SIL,S332335,IL,10300 S. Doty,(773) 568-8495,2777924
12/03/2015,TOYT,LL,,BLK,P749639,IL,10300 S. Doty,(773) 568-8495,2777946
12/03/2015,TOYT,VC,,,AT65JE,OH,701 N. Sacramento,(773) 265-7605,6833016
12/03/2015,VOLK,2D,,BLK,D644902,IL,400 E. Lower Wacker,(312) 744-7550,939030
12/03/2015,VOLK,4D,,BLK,Y833677,IL,701 N. Sacramento,(773) 265-7605,6833028
12/03/2015,VOLK,4D,,BLU,W7512X,TN,701 N. Sacramento,(773) 265-1846,1534085
12/03/2015,VOLK,4D,,WHI,KL5V4V,MO,10300 S. Doty,(773) 568-8495,2777942
12/03/2015,VOLK,4D,,BLK,Z237244,IL,701 N. Sacramento,(773) 265-7605,6833026
12/03/2015,VOLK,4D,JET,SIL,Y757329,IL,10300 S. Doty,(773) 568-8495,2777958
12/03/2015,VOLK,4D,,GRY,Z139883,IL,701 N. Sacramento,(773) 265-7605,6833042
12/03/2015,VOLV,4D,,SIL,V846839,IL,701 N. Sacramento,(773) 265-7605,6832983
12/03/2015,VOLV,LL,,GRY,V954364,IL,701 N. Sacramento,(773) 265-7605,6833125
12/02/2015,ACUR,2D,,BLK,N540604,IL,400 E. Lower Wacker,(312) 744-7550,938999
12/02/2015,ACUR,4D,,BLK,TSZ9532,IL,10300 S. Doty,(773) 568-8495,2777837
12/02/2015,ACUR,4D,,GRY,P119355,IL,400 E. Lower Wacker,(312) 744-7550,938996
12/02/2015,AUDI,4D,,GRN,1022GRP,MD,10300 S. Doty,(773) 568-8495,2777870
12/02/2015,BMW,4D,,GRY,ZIY468,LA,10300 S. Doty,(773) 568-8495,2777838
12/02/2015,BMW,4D,,BLU,Z315331,IL,701 N. Sacramento,(773) 265-7605,6832750
12/02/2015,BMW,4D,,SIL,E325542,IL,701 N. Sacramento,(773) 265-7605,6832783
12/02/2015,BMW,LL,,BLK,V728611,IL,701 N. Sacramento,(773) 265-7605,6832799
12/02/2015,BMW,SW,,GRY,Y761890,IL,701 N. Sacramento,(773) 265-7605,6832963
12/02/2015,BUIC,2D,,TAN,641XSX,IL,701 N. Sacramento,(773) 265-7605,6832934
12/02/2015,BUIC,4D,,WHI,E380116,IL,10300 S. Doty,(773) 568-8495,2777751
12/02/2015,BUIC,4D,,BRO,E354041,IL,701 N. Sacramento,(773) 265-7605,6832939
12/02/2015,BUIC,4D,,GLD,998R519,IL,701 N. Sacramento,(773) 265-7605,6832759
12/02/2015,BUIC,4D,REG,MAR,V146603,IL,701 N. Sacramento,(773) 265-7605,6832773
12/02/2015,BUIC,4D,,SIL,580GCN,IN,10300 S. Doty,(773) 568-8495,2777897
12/02/2015,BUIC,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2777749
12/02/2015,BUIC,4D,,BLU,Y721022,IL,10300 S. Doty,(773) 568-8495,2777898
12/02/2015,BUIC,4D,,MAR,Z163541,IL,701 N. Sacramento,(773) 265-7605,6832753
12/02/2015,BUIC,4D,,SIL,E492026,IL,701 N. Sacramento,(773) 265-7605,6832757
12/02/2015,BUIC,4D,,GLD,P111217,IL,701 N. Sacramento,(773) 265-7605,6832944
12/02/2015,CADI,2D,ELD,WHI,Z241751,IL,701 N. Sacramento,(773) 265-7605,6832893
12/02/2015,CADI,4D,DEV,BLU,V512982,IL,701 N. Sacramento,(773) 265-7605,6832777
12/02/2015,CADI,LL,TK,WHI,S341128,IL,701 N. Sacramento,(773) 265-7605,6832929
12/02/2015,CADI,LL,,BLK,E518281,IL,701 N. Sacramento,(773) 265-7605,6832938
12/02/2015,CHEV,2D,,BLK,S957224,IL,701 N. Sacramento,(773) 265-7605,6832948
12/02/2015,CHEV,4D,,WHI,S414109,IL,10300 S. Doty,(773) 568-8495,2777895
12/02/2015,CHEV,4D,IMP,GRY,E395656,IL,701 N. Sacramento,(773) 265-7605,6832796
12/02/2015,CHEV,4D,MAL,SIL,E978061,IL,10300 S. Doty,(773) 568-8495,2777763
12/02/2015,CHEV,4D,,WHI,E692545,IL,701 N. Sacramento,(773) 265-7605,6932760
12/02/2015,CHEV,4D,,GRY,E578723,IL,701 N. Sacramento,(773) 265-7605,6832926
12/02/2015,CHEV,4D,,BLK,Z264483,IL,10300 S. Doty,(773) 568-8495,2777760
12/02/2015,CHEV,4D,,RED,E716583,IL,10300 S. Doty,(773) 568-8495,2777896
12/02/2015,CHEV,4D,,BGE,S777384,IL,10300 S. Doty,(773) 568-8495,2777900
12/02/2015,CHEV,4D,IMP,SIL,Z149114,IL,701 N. Sacramento,(773) 265-7605,6832848
12/02/2015,CHEV,4D,,BLK,K148019,IL,701 N. Sacramento,(773) 265-7605,6832937
12/02/2015,CHEV,4D,,SIL,E525882,IL,701 N. Sacramento,(773) 265-7605,6832935
12/02/2015,CHEV,4D,,GLD,MOCHA8,IL,701 N. Sacramento,(773) 265-7605,6832800
12/02/2015,CHEV,LL,TK,BLK,N892365,IL,701 N. Sacramento,(773) 265-7605,6832962
12/02/2015,CHEV,LL,BLZ,WHI,E442372,IL,701 N. Sacramento,(773) 265-7605,6832781
12/02/2015,CHEV,LL,TK,TAN,,IL,10300 S. Doty,(773) 568-8495,2777758
12/02/2015,CHEV,LL,,MAR,190RYM,IL,701 N. Sacramento,(773) 265-7605,6832914
12/02/2015,CHEV,LL,,BLK,E684624,IL,701 N. Sacramento,(773) 265-7605,6832957
12/02/2015,CHEV,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6832949
12/02/2015,CHRY,4D,,WHI,E805043,IL,701 N. Sacramento,(773) 265-7605,6832912
12/02/2015,CHRY,4D,,GLD,E605822,IL,701 N. Sacramento,(773) 265-7605,6832762
12/02/2015,CHRY,4D,,GRY,582S706,TN,10300 S. Doty,(773) 568-8495,2777754
12/02/2015,DODG,4D,,LBL,,IL,10300 S. Doty,(773) 568-8495,2777755
12/02/2015,DODG,4D,,GRY,V238565,IL,10300 S. Doty,(773) 568-8495,2777891
12/02/2015,DODG,4D,,SIL,V531142,IL,701 N. Sacramento,(773) 265-7605,6832758
12/02/2015,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2777753
12/02/2015,DODG,4D,INT,MAR,234335,IL,10300 S. Doty,(773) 568-8495,2777765
12/02/2015,DODG,PK,,SIL,85066FF,IL,701 N. Sacramento,(773) 265-7605,6832955
12/02/2015,DODG,SW,,GRY,V260542,IL,701 N. Sacramento,(773) 265-7605,6832951
12/02/2015,DODG,VN,,MAR,V312205,IL,701 N. Sacramento,(773) 265-7605,6832947
12/02/2015,DODG,VN,TK,GRY,E485065,IL,701 N. Sacramento,(773) 265-7605,6832942
12/02/2015,FORD,2D,,GRN,1710569B,IL,10300 S. Doty,(773) 568-8495,2777839
12/02/2015,FORD,2D,,BLU,Y701603,IL,701 N. Sacramento,(773) 265-7605,6832916
12/02/2015,FORD,4D,,BLK,E868075,IL,701 N. Sacramento,(773) 265-7605,6832959
12/02/2015,FORD,4D,,RED,S932395,IL,701 N. Sacramento,(773) 265-7605,6832925
12/02/2015,FORD,4D,FOC,BLU,E990675,IL,701 N. Sacramento,(773) 265-7605,6832788
12/02/2015,FORD,4D,,LGR,E492813,IL,10300 S. Doty,(773) 568-8495,2777756
12/02/2015,FORD,4D,,SIL,E335251,IL,10300 S. Doty,(773) 568-8495,2777757
12/02/2015,FORD,4D,,GRY,V528051,IL,701 N. Sacramento,(773) 265-7605,6832928
12/02/2015,FORD,4D,,ONG,801TX,IL,400 E. Lower Wacker,(312) 744-7550,939005
12/02/2015,FORD,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2777424
12/02/2015,FORD,4D,,PLE,119FDI,IN,701 N. Sacramento,(773) 265-7605,6832905
12/02/2015,FORD,LL,EXP,WHI,117S618,IL,10300 S. Doty,(773) 568-8495,2777874
12/02/2015,FORD,LL,,BLU,L774708,IL,701 N. Sacramento,(773) 265-7605,6832953
12/02/2015,FORD,LL,,BLK,Z401227,IL,701 N. Sacramento,(773) 265-7605,6832748
12/02/2015,FORD,LL,TK,WHI,607MQU,IN,701 N. Sacramento,(773) 265-7605,6832790
12/02/2015,FORD,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2777888
12/02/2015,FORD,LL,,WHI,Z378852,IL,701 N. Sacramento,(773) 265-7605,6832830
12/02/2015,FORD,VN,WIN,GRN,E442698,IL,701 N. Sacramento,(773) 265-7605,6832782
12/02/2015,FORD,VN,,GRN,215211,IL,701 N. Sacramento,(773) 265-7605,6832802
12/02/2015,FORD,VN,,WHI,87092FF,IL,701 N. Sacramento,(773) 265-7605,6832941
12/02/2015,GMC,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2777893
12/02/2015,GMC,TR,TK,WHI,81909FF,IL,701 N. Sacramento,(773) 265-7605,6832775
12/02/2015,GMC,TR,,WHI,J6360P,IL,701 N. Sacramento,(773) 265-7605,6832908
12/02/2015,HOND,4D,,GRY,E274149,IL,400 E. Lower Wacker,(312) 744-7550,939016
12/02/2015,HOND,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6832763
12/02/2015,HOND,4D,,GRN,Y925828,IL,701 N. Sacramento,(773) 265-7605,6832825
12/02/2015,HOND,4D,CIV,BGE,X535401,IL,701 N. Sacramento,(773) 265-7605,6832765
12/02/2015,HOND,4D,,MAR,134LQE,IL,701 N. Sacramento,(773) 265-7605,6832945
12/02/2015,HOND,4D,,BLK,E890913,IL,701 N. Sacramento,(773) 265-7605,6832778
12/02/2015,HOND,4D,,GRY,KVV621,LA,400 E. Lower Wacker,(312) 744-7550,938983
12/02/2015,HOND,LL,CRV,BLK,S937835,IL,701 N. Sacramento,(773) 265-7605,6832785
12/02/2015,HOND,LL,TK,GRY,491S804,IL,701 N. Sacramento,(773) 265-7605,6832749
12/02/2015,HYUN,4D,,BLU,S442827,IL,701 N. Sacramento,(773) 265-7605,6832918
12/02/2015,HYUN,4D,,BLU,V376187,IL,701 N. Sacramento,(773) 265-7605,6832780
12/02/2015,HYUN,LL,TK,GRY,H593630,IL,701 N. Sacramento,(773) 265-7605,6832936
12/02/2015,INFI,2D,,RED,S903697,IL,701 N. Sacramento,(773) 265-7605,6832771
12/02/2015,INFI,4D,,BLU,E532547,IL,701 N. Sacramento,(773) 265-7605,6832747
12/02/2015,ISU,LL,,GRN,3075113,IL,701 N. Sacramento,(773) 265-7605,6832911
12/02/2015,JAGU,2D,,GRY,WTX774,IL,701 N. Sacramento,(773) 265-7605,6832793
12/02/2015,JAGU,4D,,BLK,H711031,IL,10300 S. Doty,(773) 568-8495,2777830
12/02/2015,JEEP,4D,,WHI,E310323,IL,701 N. Sacramento,(773) 265-7605,6832801
12/02/2015,JEEP,LL,,BLK,V459319,IL,10300 S. Doty,(773) 568-8495,2777762
12/02/2015,JEEP,LL,,BLK,Z521159,IL,10300 S. Doty,(773) 568-8495,2777761
12/02/2015,JEEP,LL,,TAN,,IL,10300 S. Doty,(773) 785-9752,1715709
12/02/2015,JEEP,LL,,SIL,S837859,IL,701 N. Sacramento,(773) 265-7605,6832756
12/02/2015,KIA,4D,,BLK,E697965,IL,701 N. Sacramento,(773) 265-7605,6832817
12/02/2015,KIA,SW,,GRN,S148369,IL,701 N. Sacramento,(773) 265-7605,6832956
12/02/2015,LEXS,4D,,GRN,6594778,IL,701 N. Sacramento,(773) 265-7605,6832767
12/02/2015,LINC,4D,,GRN,P126522,IL,701 N. Sacramento,(773) 265-7605,6832940
12/02/2015,LINC,4D,,TAN,Y748939,IL,701 N. Sacramento,(773) 265-7605,6832774
12/02/2015,LINC,LL,,WHI,Y765757,IL,10300 S. Doty,(773) 568-8495,2777748
12/02/2015,LINC,LL,,WHI,E360291,IL,701 N. Sacramento,(773) 265-7605,6832931
12/02/2015,MAZD,4D,,WHI,S411714,IL,701 N. Sacramento,(773) 265-7605,6832798
12/02/2015,MAZD,LL,,COM,389S402,IL,701 N. Sacramento,(773) 265-7605,6832755
12/02/2015,MAZD,PK,,GRN,1604404,IL,10300 S. Doty,(773) 568-8495,2777829
12/02/2015,MERC,2D,CAP,RED,,IL,10300 S. Doty,(773) 568-8495,2777834
12/02/2015,MERC,LL,MTN,TAN,A298807,IL,701 N. Sacramento,(773) 265-7605,6832776
12/02/2015,MERC,VN,VIL,RED,E313465,IL,701 N. Sacramento,(773) 265-7605,6832769
